Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial
|name            |ra           |dec          |period               |period_error|period_dot  |period_dot_error|dm        |dm_error|flux_1400_mhz|flux_1400_mhz_error|spect_index|spect_index_error|a1             |a1_error|eccentricity|eccentricity_error|min_mass|median_mass|companion_type|mass_ratio|mass_ratio_error|distance|pulsar_type|age     |b_surf  |transverse_velocity|
|PSR J0457-69    |04 57 02.0000|-69 46 00.000|0.231390388          |     7.3e-08|            |                |  91.00000| 1.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |        |        |                   |
|PSR J0532-69    |05 32 04.0000|-69 46 00.000|1.1491957            |     1.4e-06|            |                | 124.00000| 1.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |        |        |                   |
|PSR J1126-6942  |11 26 21.6700|-69 42 15.300|0.5794164380         |     2.0e-10| 3.30200e-15|         4.0e-18|  55.33000| 0.02000|        0.300|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    1.18|R          |2.78e+06|1.40e+12|                   |
|PSR J0535-6935  |05 35 00.0000|-69 35 00.000|0.20051133           |     2.0e-08| 1.15000e-14|         3.0e-16|  93.70000| 0.40000|        0.050|                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |2.76e+05|1.54e+12|                   |
|PSR J0519-6932  |05 19 46.9170|-69 32 23.480|0.263211634568       |     3.0e-12| 6.96800e-16|         5.0e-19| 119.40000| 0.50000|        0.140|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |5.98e+06|4.33e+11|                   |
|PSR J1112-6926  |11 12 51.0000|-69 26 31.000|0.82048420411        |     1.6e-10| 2.84100e-15|         8.0e-18| 148.40000| 1.00000|        0.600|              0.200|       -2.2|              0.5|               |        |            |                  |        |           |              |          |                |    2.08|R          |4.58e+06|1.54e+12|                   |
|PSR J0537-69    |05 37 43.0000|-69 21 00.000|0.112613212          |     2.0e-08|            |                | 273.00000| 1.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |        |        |                   |
|PSR J0540-6919  |05 40 11.2020|-69 19 54.170|0.0505697030222      |     1.8e-12| 4.78909e-13|         3.0e-19| 146.50000| 0.20000|        0.024|                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|HE         |1.67e+03|4.98e+12|                   |
|PSR J0537-6910  |05 37 47.4160|-69 10 19.880|0.0161222220245      |     4.0e-13| 5.17843e-14|         1.1e-20|          |        |        0.000|              0.010|           |                 |               |        |            |                  |        |           |              |          |                |   49.70|NRAD       |4.93e+03|9.25e+11|                   |
|PSR J0456-69    |04 56 30.0000|-69 10 00.000|0.117073051          |     1.5e-08|            |                | 103.00000| 1.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |        |        |                   |
|PSR J1055-6905  |10 55 44.7100|-69 05 11.400|2.9193969868         |     3.0e-10| 2.03360e-14|         1.5e-17| 142.80000| 0.40000|        0.300|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    2.03|R          |2.27e+06|7.80e+12|                   |
|PSR J1629-6902  |16 29 08.7706|-69 02 45.294|0.0060006034432179   |     1.9e-15| 1.00000e-20|         3.0e-22|  29.49000| 0.00300|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    0.96|R          |9.51e+09|2.48e+08|                   |
|PSR J0949-6902  |09 49 20.5670|-69 02 41.600|0.64001572416        |     1.0e-11| 6.37000e-16|         5.0e-19|  93.00000| 0.10000|        0.300|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    1.68|R          |1.59e+07|6.46e+11|                   |
|PSR J0543-6851  |05 43 52.7100|-68 51 25.300|0.70895418575        |     6.0e-11| 3.94000e-15|         3.0e-17| 131.00000| 4.00000|        0.220|                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |2.85e+06|1.69e+12|                   |
|PSR J0522-6847  |05 22 23.0600|-68 47 02.200|0.67453190906        |     3.0e-11| 1.77270e-14|         1.4e-17| 126.45000| 0.07000|        0.190|                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |6.03e+05|3.50e+12|                   |
|PSR J0749-68    |07 50 50.0000|-68 44 27.000|0.915171299          |     2.0e-09|            |                |  26.00000| 0.00000|        4.100|                   |           |                 |               |        |            |                  |        |           |              |          |                |    0.11|R          |        |        |                   |
|PSR J1456-6843  |14 55 59.9230|-68 43 39.500|0.2633769071818      |     5.0e-13| 9.89500e-17|         3.0e-20|   8.63900| 0.00700|       64.200|              1.280|       -1.1|              0.1|               |        |            |                  |        |           |              |          |                |    0.43|R          |4.22e+07|1.63e+11|              84.34|
|PSR J1204-6843  |12 04 36.7200|-68 43 17.190|0.3088608620097      |     1.9e-12| 2.17080e-16|         1.9e-19| 133.93000| 0.09000|        0.500|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    1.91|R          |2.25e+07|2.62e+11|                   |
|PSR J0521-68    |05 21 44.0000|-68 35 00.000|0.43342070           |     3.0e-07|            |                | 136.00000| 4.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |        |        |                   |
|PSR J1239-6832  |12 39 58.8000|-68 32 30.000|1.30192252990        |     9.0e-11| 1.18960e-14|         1.2e-17|  94.30000| 0.30000|        0.960|              0.110|       -2.3|              0.4|               |        |            |                  |        |           |              |          |                |    1.57|R          |1.73e+06|3.98e+12|                   |
|PSR J1646-6831  |16 46 54.8000|-68 31 51.000|1.7856112396         |     6.0e-10| 1.70000e-15|         3.0e-17|  43.00000| 2.00000|        4.900|              1.000|       -1.9|              0.4|               |        |            |                  |        |           |              |          |                |    1.24|R          |1.66e+07|1.76e+12|                   |
|PSR J0711-6830  |07 11 54.1891|-68 30 47.414|0.00549096850619231  |     4.0e-17| 1.49067e-20|         4.0e-25|  18.40660| 0.00060|        3.700|              0.400|       -1.8|              0.1|               |        |            |                  |        |           |              |          |                |    0.11|R          |5.84e+09|2.90e+08|              11.00|
|PSR J0542-68    |05 42 35.0000|-68 16 00.000|0.42518900           |     7.2e-07|            |                | 114.00000| 5.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |        |        |                   |
|PSR J1130-6807  |11 30 31.9130|-68 07 28.520|0.2563527993088      |     8.0e-13| 4.59680e-16|         2.0e-20| 148.73400| 0.00400|        0.550|              0.050|       -3.6|              1.0|               |        |            |                  |        |           |              |          |                |    1.97|R          |8.84e+06|3.47e+11|                   |
|PSR J1352-6803  |13 52 34.4500|-68 03 37.100|0.628902546380       |     1.6e-11| 1.23400e-15|         3.0e-18| 214.60000| 0.20000|        1.000|              0.200|       -3.0|              0.2|               |        |            |                  |        |           |              |          |                |    9.90|R          |8.07e+06|8.91e+11|                   |
|PSR J1414-6802  |14 14 25.7000|-68 02 58.000|4.6301880619         |     4.0e-10| 6.39000e-15|         7.0e-17| 153.50000| 0.60000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    5.42|R          |1.15e+07|5.50e+12|                   |
|PSR J1502-6752  |15 02 18.6150|-67 52 16.759|0.02674442376700     |     6.0e-14| 3.14500e-19|         1.4e-21| 151.20000| 1.80000|        0.690|                   |           |                 |    0.317540000| 2.0e-05|  0.00003100|        0.00014600|  0.0219|     0.0253|UL            |          |                |    7.73|R          |1.35e+09|2.93e+09|             558.20|
|PSR J0458-67    |04 58 59.0000|-67 43 00.000|1.1339000            |     1.8e-06|            |                |  97.00000| 2.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |   49.70|R          |        |        |                   |
|PSR J1259-6741  |12 59 22.7000|-67 41 40.000|0.6633290494         |     3.0e-10| 1.20600e-15|         1.9e-17|  94.70000| 0.90000|        1.300|              0.140|       -2.1|              0.4|               |        |            |                  |        |           |              |          |                |    1.57|R          |8.71e+06|9.05e+11|                   |
